,PKMuestreo,FechaMuestreo,IDPiscina,PKCiclo,KilosAlimento,FechaSiembra,FechaCosecha,CantidadSembrada,Hectareas,days_from_last_monitoring,cycle_days,survival_updated_at,Supervivencia,PesoPromedio2,CantidadCosechada,biomass_harvested,CantidadCosechada_cum,biomass_harvested_cum,stocked_minus_harvested,live_animals,live_biomass,cumulative_biomass,kg/ha/day,cumulative_fcr,density_ha,density_ha_bin,biomass_ha,NombreProveedor,Proveedor,Codigo,Especie,Origen,Proceso,Descripcion,MnProveedor,total_feed_given,cycle_feed_cost,start_weight,start_cycle_days,CantidadCosechada_harvested,VentaUSDReal,average_weight_harvest,Parcial,final_sale,partial_harvest_qty,partial_harvest_rev,final_biomass_harvested,cycle_fcr,cycle_weekly_growth_rate,rev_ha_day,cycle_feed_ha_day
57,73849,2022-04-11,87,3528,4625.0,2022-01-29,2022-04-13,1324300,8.5,7.0,72,2022-04-11,75.0,29.0,0.0,0.0,432299.0,8510.0,892001.0,669001.0,19401.0,27911.0,77.7,1.206,155800.0,130-160k,3284.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,33650.0,37545.75,0.41,2,2063481.0,99076.0,26.440001,2.0,2.0,432299.0,34842.0,24351.0,1.382,2.86,161.89,54.98
58,72359,2022-04-18,82,3531,4950.0,2022-02-03,2022-04-19,1353750,9.5,7.0,74,,70.0,29.0,0.0,0.0,224654.0,3736.0,1129096.0,790367.0,22921.0,26657.0,74.4,1.432,142500.0,130-160k,2806.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,PUNK SP,38175.0,43336.75,0.81,4,946138.0,79387.0,23.6,1.0,1.0,224654.0,14781.0,20568.0,1.856,2.82,112.93,54.3
59,72035,2022-04-04,90,3532,4575.0,2022-01-30,2022-04-09,938600,6.5,7.0,64,2022-04-04,86.0,19.9,0.0,0.0,210880.0,3043.0,727720.0,625839.0,12454.0,15497.0,100.5,1.56,144400.0,130-160k,2384.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,24175.0,26367.5,0.33,1,978683.0,65369.0,19.0,1.0,1.0,210880.0,11044.0,17590.0,1.374,2.17,157.14,58.11
60,72642,2022-05-16,92,3533,4725.0,2022-02-18,2022-05-18,1417780,9.1000004,7.0,87,2022-05-16,88.0,29.84,0.0,0.0,664247.0,12517.0,753533.0,663109.0,19787.0,32304.0,74.2,1.576,155800.0,130-160k,3550.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,50900.0,58263.5,1.11,3,1295116.0,108129.0,28.6,2.0,2.0,664247.0,40937.0,30291.0,1.68,2.39,136.58,64.29
61,72631,2022-05-16,80,3534,3100.0,2022-02-17,2022-05-17,1383200,9.1000004,7.0,88,2022-05-16,77.0,31.0,0.0,0.0,595544.0,12789.0,787656.0,606495.0,18801.0,31590.0,48.7,1.527,152000.0,130-160k,3471.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,48225.0,55451.75,0.76,4,1968604.0,205011.0,30.0,2.0,2.0,595544.0,43729.0,45762.0,1.054,2.52,256.01,60.22
62,72774,2022-05-30,91,3544,4050.0,2022-03-02,2022-06-03,1265455,8.5,7.0,89,2022-05-30,89.0,24.73,0.0,0.0,749783.0,14063.0,515672.0,458948.0,11350.0,25413.0,68.1,1.839,148877.0,130-160k,2990.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,46725.0,54723.25,1.29,5,1571545.0,140725.0,30.219999,2.0,2.0,749783.0,45342.0,35036.0,1.334,1.95,186.02,61.76
63,72567,2022-05-09,88,3545,5025.0,2022-03-02,2022-05-11,1411730,11.7,7.0,68,2022-05-09,93.0,24.42,0.0,0.0,563749.0,10256.0,847981.0,788622.0,19258.0,29514.0,61.4,1.396,120661.0,<130K,2523.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,ACUTEC,41200.0,50449.25,1.0,5,2774925.0,344541.0,26.450001,2.0,2.0,563749.0,30719.0,65495.0,0.629,2.6,433.06,51.78
64,72767,2022-05-30,84,3547,4625.0,2022-03-14,2022-05-31,1178950,7.3000002,7.0,77,2022-05-30,89.0,25.99,0.0,0.0,388625.0,6218.0,790325.0,703389.0,18281.0,24499.0,90.5,1.475,161500.0,>160k,3356.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,36125.0,43108.75,0.25,0,2450539.0,69140.0,25.0,1.0,1.0,388625.0,15966.0,22711.0,1.591,2.34,123.0,64.27
65,72766,2022-05-30,83,3548,3425.0,2022-03-15,2022-05-30,1227400,8.6999998,7.0,76,,84.0,27.0,0.0,0.0,343333.0,5665.0,884067.0,742616.0,20051.0,25716.0,56.2,1.364,141080.0,130-160k,2956.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,35075.0,41960.75,1.05,6,1711333.0,80362.0,26.0,1.0,1.0,343333.0,16971.0,25108.0,1.397,2.6,121.54,53.05
66,72768,2022-05-30,85,3549,3850.0,2022-03-16,2022-06-01,1418256,8.1000004,7.0,75,2022-05-30,94.0,25.81,159982.0,3646.0,648649.0,10976.0,769607.0,723431.0,18672.0,29648.0,67.9,1.466,175093.0,>160k,3660.0,TEXCUMAR,TX,VLL,V,L,L,Laboratorio,SP,43450.0,51799.50000000001,0.86,5,2270349.0,83803.0,25.299999,2.0,2.0,648649.0,33039.0,26905.0,1.615,2.5,137.95,71.52
